office_id, city, latitude, longitude, work_day_hours, holiday_hours, opt_0, opt_1, opt_2, opt_3, opt_4, opt_5, opt_6, opt_7, opt_8, opt_9, opt_10, opt_11, opt_12, opt_13, opt_14, opt_15, opt_16
129, г.Волгоград, 48.514212, 44.538094, 10:00-19:00, 10:00-14:00, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0
130, г.Ростов-на-Дону, 47.226472, 39.730311, 09:30-18:30, 10:00-14:00, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0
131, г.Ростов-на-Дону, 47.218914, 39.70293, 10:00-18:00, 10:00-14:00, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
132, г.Ростов-на-Дону, 47.20745, 39.63158, 10:00-19:00, 10:00-14:00, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0
133, г.Сыктывкар, 61.668554, 50.82561, 09:00-19:00, not working, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0
134, г.Калининград, 54.718078, 20.500255, 09:00-19:00, 10:00-17:00, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
135, г.Краснодар, 45.049564, 38.977604, 10:00-18:00, 10:00-14:00, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0
136, г.Краснодар, 45.037649, 38.99433, 10:00-19:00, 10:00-14:00, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
137, г.Пермь, 58.01288, 56.22782, 10:00-19:00, 10:00-15:00, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
138, г.Краснодар, 45.021061, 39.016662, 10:00-19:00, 10:00-14:00, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
139, г.Пермь, 57.994021, 56.251928, 10:00-19:00, not working, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
140, г.Уфа, 54.729282, 55.942959, 09:00-19:00, 10:00-15:00, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
141, г.Уфа, 54.742678, 55.989135, 10:00-19:00, 10:00-15:00, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0
142, г.Анапа, 44.890695, 37.314584, 09:00-18:00, not working, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0
143, г.Уфа, 54.769326, 56.024861, 10:00-19:00, not working, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0
144, г.Новороссийск, 44.713517, 37.776763, 09:00-18:00, 10:00-14:00, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0
145, г.Сочи, 43.594528, 39.727668, 10:00-19:00, 10:00-14:00, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0
146, г.Пятигорск, 44.040182, 43.070288, 10:00-18:00, not working, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0
147, г.Миасс, 55.134428, 60.147252, 09:00-19:00, 10:00-15:00, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
148, г.Екатеринбург, 56.82924, 60.56498, 10:00-19:00, 10:00-17:00, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0
149, г.Екатеринбург, 56.83078, 60.5974, 10:00-19:00, 10:00-17:00, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0
150, г.Екатеринбург, 56.89279, 60.61266, 10:00-19:00, 10:00-17:00, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
